Cluster,MMR_Keywords,Assigned_Topic
0,"hood, yup, bites, much, classic, good, nope, ye, yeah",0
1,"buddi, tomt, eric, caesar, karl, joe, biden, isaac",4
2,"expans, inde, neat, much, ah, cool",4
3,"ok, guess, sure",0
4,"buck, creativ, sea, laughabl, friend, bankrupt, eo, mani, hair, worth",1
5,"game, anythink, vibe, monument, damn, grandper, littl, abandon, meltdown, look",3
6,good,0
7,"wow, wth, stuff, great, job, brilliant",3
8,"replay, minut, quit, stomach, hour, couldnt, annoy, gunplay, soak, talk",0
9,"pack, everi, bundl, custom, placehold, dress, bdsm, grenad, tier, awesom",3
10,"bundl, unnecessari, pvp, bone, otherwis, map, decent, challeng, stori, charm",5
11,"bundl, fish, didnt, offshor, useless, alreadi, buyabl, play, system, spi",1
12,"diablo, satisfi, simplest, enjoy, successor, bad, dual, instanc, depth, build",8
13,"ezio, ryzen, arent, faction, gradual, satisfi, overshadow, decent, replay, empir",9
14,"game, glock, sad, hangov, cowboy, much, carton, csgo, adapt, shet",3
15,"zombi, firearm, hell, multiplay, list, move, famili, stupid, activ, mess",2
16,"batman, satisfi, subplot, openworld, orign, play, fact, oppos, wasnt, motiv",9
17,"excel, overstretch, mmorpg, carbon, horribl, enjoy, true, constraint, vietnam, releas",6
18,"falloutvers, metafict, choic, samurai, text, libertarian, involv, whini, everyth, hey",9
19,"gta, opinion, nutshel, hong, stori, hybrid, entri, sleep, tho, probabl",6
20,"fire, privat, enjoy, permiss, sit, engag, matrix, tough, twin, patch",3
21,"halflif, hasnt, life, multiplay, haha, discourag, remak, complet, mani, insuffer",8
22,"playthroughid, underpr, microwav, stupid, scandanavian, alot, invest, demon, releas, environ",1
23,"deck, abilitiesunitsbuild, cancelconfirm, true, fullscreen, readi, autopilot, rival, threshold, basic",5
24,"playstyl, citi, censorship, crazi, lightbear, modern, terraform, heret, wander, textur",1
25,"simul, slumlord, flight, play, wickth, presid, collaps, godzilla, sydney, liter",4
26,"gamemod, buggi, orc, stay, stori, recent, clunki, allow, import, half",8
27,"casual, delight, bug, room, voic, play, puzzl, gmod, first, clair",4
28,"pretti, manipul, refund, dull, everyth, jump, yeah, curv, crosshair, element",3
29,"tabl, upgrad, submit, opinion, pinbal, overlap, motiv, reinterpret, bethesda, samurai",2
30,"doom, basic, inaccur, justifi, rememb, podcast, hear, shotgun, greatest, workunfortun",9
31,"vampir, bland, tunnel, trigger, survivorslik, testament, sure, goodreplay, tetris, major",3
32,"boardgam, clunki, realism, remast, impress, pipe, qualiti, els, doesnt, fun",7
33,"digit, worlf, rulebook, everybodi, play, ui, boardcard, okayish, mechanicwis, consult",2
34,"payn, true, diablo, ujibfdiyugvbdyuhgvf, worth, maxpayn, peopl, quit, comput, rock",1
35,"gameplay, aesthet, bother, benchmark, timeless, offer, lotr, besid, seri, isnt",1
36,"rockstar, bdsm, card, dumbest, awesom, remak, play, suppos, tri, origin",4
37,"hate, busta, tax, stand, game, bah, everyth, divin, gon, caus",6
38,"roguelikelit, base, true, grindi, wrap, deck, hybrid, tactic, enjoy, decent",3
39,"roguelik, deckbuild, upgrad, attract, break, sot, quasimorph, mindless, immens, form",5
40,"psycholog, fair, rtx, jumpscar, sorri, guard, rpg, enjoy, ultracop, subermass",3
41,"ui, watermelon, play, hell, interfac, hous, crash, chang, minut, youll",4
42,"simpl, differ, ui, tire, fun, varieti, dimension, didnt, someth, elect",6
43,"game, surviv, realli, multipl, decentish, stay, didnt, environ, scari, kinda",1
44,"addict, youll, readi, challeng, wonder, year, spend, littl, suck, healthier",1
45,"gay, timeless, bound, hustl, enjoy, dull, chartin, wast, weaker, play",7
46,"rpg, cautionari, shame, bread, depress, releas, overload, cancer, realist, chase",3
47,"fun, inexpens, ludicr, ton, meet, ye, special, world, price, alot",1
48,"addict, cent, entertain, extrem, kinda, start, hour, realist, everyon, td",1
49,"game, favourit, fromsoft, inde, folk, first, titl, hollow, goti, hotlin",9
50,"game, weirdest, badass, scroll, salim, complet, fpsrpg, greatest, van, wont",3
51,"realli, twinstick, enjoy, wouldnt, peopl, nerv, steampunk, addict, btec, lag",8
52,"redempt, amaz, play, alien, brutal, undersea, baldass, peopl, first, oppress",4
53,"rpg, alreadi, overcomplex, didnt, pregger, nirvana, equip, innov, sit, shootingbombingfootbal",9
54,"clown, bless, overwatch, getoutofmyheadgetoutofmyheadgetoutofmyheadgetoutofmyheadgetoutofmyhead, base, play, havent, ohio, men, twa",4
55,"bear, easi, didnt, gameplay, supercool, bias, offer, consist, grindi, stupid",0
56,"gamer, unpolish, proudest, ape, wast, scroll, day, review, ok, lick",3
57,"soul, ok, prescenc, nobodi, tower, special, play, cleanser, depressuris, morgott",4
58,"ubisoft, everyth, boycott, patch, requir, multiplay, suggest, rockstar, unecessari, refund",8
59,"pay, extrem, chines, certifi, swim, social, sensit, intern, govern, element",4
60,"gameplay, fastpac, got, honestli, excel, spire, deckbuild, spend, predetermin, cuz",6
61,"deck, requir, easi, chararact, havent, pathway, sure, unpredict, excel, semirandom",5
62,"underground, annoy, divorc, testicl, havent, freeman, necess, biolog, baddest, relax",4
63,"dungeon, prick, base, break, candi, complet, nft, play, ui, wolfstay",4
64,"realli, rate, gameplaywis, metro, jumpscar, youll, poor, excel, logist, easi",6
65,"music, wouldnt, ubisoft, templat, monologu, similiar, checkpoint, warsaw, honestli, gamewis",2
66,"gameplay, remind, gladiat, chang, dialogu, sens, underr, station, traffick, encourag",2
67,"tediou, entertain, didnt, atmospher, qunari, anymor, polish, risk, purest, sunday",7
68,"gta, passabl, suggest, unchart, voic, multiplay, doesnt, pirat, naruto, translat",8
69,"playabl, preteen, sir, beautifuluniquefunrelax, half, coop, havent, definit, empir, needless",3
70,"duck, societi, videogam, havent, peopl, lolwat, aton, play, unfortun, hexcel",4
71,"scam, anymor, flag, charact, fsr, cuz, start, ratio, playlist, recommand",3
72,"tux, legend, dish, cluncki, cqc, battl, year, itll, radioact, wolf",3
73,"deathloop, curs, middl, annoy, sure, textur, cook, famili, standoff, manga",2
74,"battlerit, sad, babi, play, hive, hour, cartman, innov, multi, leagu",3
75,"crunchi, humor, servic, youll, ectoplasm, unstabl, command, borderland, wick, calori",4
76,"play, realli, lock, lortespil, kinda, linear, cnt, fetch, nxt, journey",1
77,"gameplaywis, invest, bother, ct, anybodi, fairli, rate, realist, excel, month",6
78,"playabl, wouldnt, definetley, euro, mow, amaz, pun, consid, refund, learn",1
79,"gta, humbl, expens, pointless, payday, wont, zombi, nope, play, peopl",1
80,"shooterstealth, linear, mostli, alot, prompt, exfiltr, uninterest, affin, wear, likeabl",9
81,"frog, wont, play, masterpiec, detect, littl, crazi, miami, crack, someon",4
82,"earli, choos, roguelit, excel, half, havent, resurrect, froggi, strengthen, guitar",5
83,"cyberpunk, astonish, excel, hike, bethesda, honest, releas, stress, everi, keyboard",6
84,"dungeon, hypocrisi, transmit, apiec, fatiguehungerthirst, batch, vocabulari, ineffici, princip, havent",5
85,"gtao, satisfi, polish, etc, unnecessari, stay, dlc, havent, church, weakest",9
86,"coop, glad, funcreepi, express, hour, couch, anyon, addict, play, coupl",4
87,"play, german, satisfi, crazi, didnt, list, destruct, granbi, micro, hehe",4
88,"gamebreak, properli, expans, excel, honest, comput, orwel, mbitss, saveload, skip",6
89,"gameplay, washingmachin, youll, qualiti, overwhelm, censor, tho, glitech, unlock, rememb",3
90,"stori, doesnt, gibson, gameplay, instakil, remast, clementin, bland, run, everyth",7
91,"littl, reflex, game, neat, metroidvania, goofi, fr, bruh, gud, make",4
92,"hacker, obligatori, refund, fact, manag, anymor, react, start, nexu, wouldnt",0
93,"gamepad, releas, exportimport, favourit, spawn, inabl, view, fraction, sorri, phonetablettactil",5
94,"rpg, didnt, jurass, linuxproton, underwhelm, disconnect, microtransact, anymor, display, fact",9
95,"roguelik, react, worthless, sit, wasnt, interfac, headglitch, halo, ui, devpublish",0
96,"mechan, peopl, stamina, reset, sequenc, isnt, decent, occasion, preview, mous",9
97,"beta, deckmenu, tooltip, rippoff, phasmophobia, everi, say, select, casual, splitscreen",2
98,"gameplay, essenc, stalwart, carddeck, hasnt, sure, excel, everincreas, minmax, easi",5
99,"gameplaywis, excel, capabl, skip, pathet, gladli, amd, fact, entri, enjoy",6
100,"keyboard, properti, isnt, skip, fighter, pergam, reload, ssft, becom, medkit",5
101,"gameplay, becom, glad, passiv, tarnish, empir, catalogu, didnt, everyth, elizabeth",3
102,"rpg, alreadi, didnt, improv, earlyish, render, dialogu, anymor, ambianc, decent",9
103,"gameplay, glad, evenicl, upsid, expens, sure, prologu, swindl, varieti, wasnt",3
104,"clearli, break, steamdeck, requir, concept, upgrad, beta, strategi, ui, see",2
105,"game, smartest, citi, layer, humbl, battl, guid, liter, decent, challeng",9
106,"odin, upgradedirect, strateg, tooltip, resolidifi, lowqual, engag, vaulter, autopilot, swayingswingingdestruct",9
107,"lovecraft, varieti, casual, persist, see, groundbreak, gunspetrolmatchstick, cook, coop, everyth",9
108,"rpg, necessari, hasnt, limit, automap, cheerlead, upgrad, pace, dialogu, compliment",9
109,"rpg, necessari, lmfao, speedbump, everyon, downgrad, perform, walk, stealthbackstab, dialogu",9
110,"combat, suppli, havent, offer, artstyl, usag, react, everyon, tweak, unintent",9
111,"gameplay, slidingontheoppsinspaceforcingthemtocreatemymegaspaceship, aesthet, wellthey, definetley, battl, refund, warfar, sit, becam",1
112,"gameplay, glad, becom, nonogram, paus, redeploy, elabor, spend, realli, underwhelm",1
113,"grind, terribl, becam, cursor, construct, shouldnt, area, everyon, expedit, tilelay",5
114,"play, realli, everyth, dull, isnt, minut, gimmick, tediou, formula, dragslay",7
115,"puzzl, minimalist, combat, legit, grand, isnt, eleg, srpg, pretend, base",0
116,"gameplay, amazingli, havent, curs, futur, sarcast, sexism, lite, ye, disneyland",3
117,"gameplay, regularli, tast, involv, havent, indi, microtransact, compat, half, tea",8
118,"game, majest, citi, excel, redefin, doesnt, wow, charact, chill, anymor",6
119,"play, mechan, arent, everyth, experi, challeng, divisiontyp, highland, difficult, vibe",3
120,"rpg, calori, cutscen, stupidest, enjoy, slog, introduct, peac, spectrum, quit",4
121,"grind, easi, blightstorm, arent, seamstress, upgrad, challeng, technic, anymor, display",9
122,"rpg, icariu, softlock, congratul, rememb, sure, lack, versionwel, anymor, linear",9
123,"dungeon, realist, easi, skip, chines, playabl, collect, grind, function, treesstonescopp",2
124,"music, didnt, ubisoft, dialogu, sniper, overpr, excel, countless, laughabl, expens",2
125,"puzzl, gameplay, necessarili, havent, optim, major, tax, alland, hardcor, start",1
126,"faction, fantasi, rockpaperscissorsapproach, cyberpunk, underwhelm, doesnt, dozen, linear, play, determinist",9
127,"puzzl, besid, concept, gamebreak, franchis, chang, hr, children, didnt, dialogu",2
128,"rpg, autocomplet, qualiti, didnt, sit, rate, fact, upgrad, multitaskingfriendli, confid",9
129,"gameplay, coolest, poorli, wast, templar, dialogu, structur, limit, linear, batallion",2
130,"rpg, sanctu, polishingbut, didnt, improv, trine, react, half, motiv, uboot",2
131,"combat, privat, didnt, likeabl, keybind, vocabulari, nocheckpoint, multitask, satisfi, becam",5
132,"casual, strategi, salem, requir, easi, sit, half, mean, easier, disabl",7
133,"gameplay, everspac, honestli, complet, see, corpor, mcz, skip, add, scanner",3
134,"unlock, sluggish, waypoint, rememb, wander, programhardwar, purchas, ocd, premis, charact",5
135,"dungeon, tip, simul, concept, break, involv, upgrad, thankyou, alot, checkmat",2
136,"playtim, transport, trim, excel, workerplac, couldnt, inflationari, teach, definetli, requir",6
137,"gameplay, paywal, stupidlysimpl, paus, asid, havent, rampag, vsync, weakest, enjoy",1
138,"mobi, practic, polish, cant, boringrepetit, faction, multiplay, underpow, excel, decent",8
139,"gameplay, workplac, upgrad, ok, unnecessari, chequebook, dungelot, maintain, infrastructur, array",9
140,"gatheringcraft, penalti, quit, realli, sequenc, impress, everyth, type, youll, crater",9
141,"gameplay, goti, androidiphon, whisker, rtard, linear, everyth, spend, amaz, havent",1
142,"rpg, mercenari, havent, likeabl, upgrad, cheer, express, fact, racingderbi, contrast",9
143,"rpg, settingsurround, beauti, hadnt, weakest, sequenc, stay, adrenalin, recomend, minesweeperesqu",9
144,"rpg, consciou, upgradeslevel, splashscreen, likeabl, fact, slog, optimum, didnt, crew",9
145,"rpg, necessari, showcas, keybind, principl, stay, optimis, alot, introductori, doesnt",9
146,"rpg, pausableslowmo, didnt, mous, fact, becam, raceclass, standard, deckbuild, sequenc",5
147,"rpg, consequ, youll, structur, upgrad, bland, victorianedwardian, exponenti, motiv, select",9
148,"gameplay, becom, honestli, pebbl, superweapon, excel, transit, rate, disappoint, sequenc",6
