Game,cleaned_Reviews,num_words,review_length,embedding_0,UMAP_1,UMAP_2,cluster
ACE COMBAT™ 7: SKIES UNKNOWN,major negative story character lame everything come across incredibly campy fun game otherwise every mission unique noticeably bad one,19,134,0.013183802,17.112667,5.8190017,11
ACE COMBAT™ 7: SKIES UNKNOWN,meh big meh bland storyline japanese melodrama ton make country name cheesy dialogue extremely arcade flight dynamic like almost like descent game past worth buck play fan series,28,178,-0.0037442609,18.61222,6.726864,-1
ACE COMBAT™ 7: SKIES UNKNOWN,honestly insane I use play ace combat game ps I completely disconnected year pc I able finally reconnect amazing franchise sky unknown I wish I soon outstanding game deliver much I expect dogfighting game gigantic amount varied aircraft outstanding modelling style tight exhilarating combat expert control I remember ace graphic nice although lod could well story well write character dub deliver en jp I basically nothing negative say one single technical issue competent game I itch go back revisit dear old ace combat someday relive memory I care multiplayer downloadable content mission also great,94,601,0.024338992,19.02071,5.985852,12
ACE COMBAT™ 7: SKIES UNKNOWN,I never play anything series one fun dogfighting get little irritate honestly real complaint bad storytelling like bad metal gear solid ripoff must japanese thing,25,162,-0.047840733,18.525732,6.3112226,11
ACE COMBAT™ 7: SKIES UNKNOWN,I highway danger zone,4,21,0.013515606,16.13822,5.6333356,11
ACE COMBAT™ 7: SKIES UNKNOWN,good ace combat game since glad return strangereal however funk think decide controller button display hud would damn xbox control real game native support ps controller legit think option ps button icon bro even indie devs support bs game top,40,243,-0.065717414,18.903873,5.992604,12
Age of Fear 2: The Chaos Lord GOLD,I buy game bundle together aof game share engine developer update frequently important mean aof obsolete compare aof different campaign I need hour complete campaign orc demon expert level nd however I find orc campaign lot difficult basically orc heal unit berserker trait make difficult disengage combat drink heal potion moreover ranged unit weak goblin assassin unlocked second half campaign useful I find story bit boring uninspired story important kind game interesting make curious motivate play instead demon campaign story nice dialogue hero demon lady knight funny I curious discover rest demon campaign also lot easy basically player summon lot imp range unit use cannon fodder weaken enemy game masterpiece traditional solid strategy game I enjoy I currently play aof I absolutely recommend bundle especially sale,126,825,-0.07574408,17.242153,7.079109,8
Age of Fear 2: The Chaos Lord GOLD,absolute travesty uiux clunky slow pure,6,39,0.008505766,19.777102,6.800771,11
Age of Wonders 4,take good aow aow planetfall add even customality I think favorite new addition ability player even ai play randomly generate faction faction still game standard race inherent ability start skill etc randomly choose,33,215,0.0021496585,17.015455,7.1395774,9
Age of Wonders 4,remove racial trait exchange customization optionsbut option mediocre get trait start game run like ass try run turn simultaneously cause memory leak run normal turn order minute turn ai finish move battle animation speed wrong apply stand animation make massive amount sound battle restart button work surrender option murder unit even escape unscaved force watch turn manually hit end turn button random crash always crash exit creme de la creme th installment entire thing feel like rush garbage need massive bug fix optimization comparison rig run civ fine worrythey time change hero pronoun,93,595,0.0041197403,19.448631,7.3609853,14
Age of Wonders 4,ok thing play civ homm whatever x aow redefine genre decade come less slap face dude edit negative review cpu melt highend computer disapear workaround option driver crash also disapear edit game still burn cpu even game browse still screen,40,240,-0.0012903988,19.97762,6.2731705,-1
Age of Wonders 4,I want love age wonder many good bit I love customisation faction tome magic development tree graphic great etc etc ai bad bad stack ai player many discount special cost truly joyless affair beyond first difficultly level I fight ai empire army like stack unit I afford pay upkeep keep develop I defeat one full slightly big army ai awful tactically within two turn completely replenish army I also defeat army show wear two turn laterhere come another army size keep happen tactically ai dumb post I play battle tactically I use autobattle feature general dumb I end play multiple fairly dull tactical battle watch army take I long time replace erode ais stupid countless force ruin sense play opponent vaguely similar clearly play human weird stupid computer spam army time fast I sure way around I sure strategy I could use account I equally sure I would find strategy fun disappointment I really look forward game spend far I get I wish I wait month sale I hour much x game standard I feel like I fun play dumb ai player update hear maybe fix ai somewhat nope still exactly thing spamme massive army far great rate human player minimal intelligence disappointing much well game maybe I miss something I willing convince I play wrong,216,1236,-0.010948054,18.928732,8.049104,-1
Antihero,get sale less I go I really call worth I finish campaign hour first difficult I realize half unit waste resource I get rather fast end make sound like come dev say I personal interest online multiplayer seem add flesh game abysmally short campaign plus multiplayer dead necessarily bad game justify base price,53,309,-0.00969317,19.400143,4.2984896,7
Antihero,pretty solid boardgame pc definitely something enjoyable play people stupid ai I mean boardgame boardgame generally mean play people rather duh,21,143,0.02371907,18.165657,6.183726,11
Automation - The Car Company Tycoon Game,bad waste money,3,15,-0.020538278,19.580873,4.285863,7
Automation - The Car Company Tycoon Game,dislike game failure understand something lot work put fall heavily hardcore simulation branch I say ui single bad thing game problem time go navigate menu core design model trim engine family variant I still get hang definetley dad game ill keep give chance I reccomend jump unless know get definetley big brain,52,312,0.03241575,19.650265,6.7408595,11
Battlefield™ V,good enough fun,3,15,-0.036744043,17.221048,1.7921352,1
Battlefield™ V,cheater game chinese,3,20,-0.10372048,17.914139,2.4643703,3
Battlefield™ V,battlefield fan I say game playable enjoyable I remind battlefield v probably bad game series may hardline nvm new battlefield series try go different game like battlefield I write review bf still player community love battlefield fan series absolutely play game I prefer buy game sale otherwise waste lot money shtty ea pricing thing fun,55,338,-0.04886609,19.01233,5.6583486,17
Battlefield™ V,trash game even worth play free modernwarfare less hacker per minute garbage recoil place first time user make even less enjoyable game vibrant full shadow headglitche see hear get shoot I pretty sure I see setting make ad relative fov everytime I ad zoom fov react people come side,49,282,-0.03617463,19.38197,5.2620425,18
Battlefield™ V,fun duo medic,3,13,-0.011804064,17.136803,3.6365554,-1
Battlefield™ V,casualeasy battlefield game I play definitely try appeal wider casual audience one unfortunately also unrealistic sjw diversity incredibly annoying almost multiplayer character always default woman soldier first start game also already annoying enough chat extremely censored allow say word ea deem naughty controversial I think rate game honestly worth support trash like unless grab deep sale buck price worth want casual multiplayer shooter kill time,65,453,-0.023002367,18.652952,6.248536,11
Battlefield™ V,laugh loud I realise force play german nazi game next play poor kkk guy cause suffering every language,18,102,0.047652178,18.048761,4.984339,19
Battlefield™ V,go back forth battlefield v battlefield battlefield v look like masterpiece despite game still hackersfield great job ea dice edit dice finally add work anti cheat look last decent battlefield bfv probably even future get full price edit go another useless anti cheat ea,44,270,-0.07066173,19.221415,5.631363,17
Battlefield™ V,literally bad bf game ever,5,26,-0.008915031,18.946344,4.5304914,16
Battlefield™ V,miud,1,4,-0.08950802,16.931894,2.8267627,2
Beholder,potentially great game bogge terrible mechanic choice game real time quest time limit natural habit try complete quest fast effective one could game require stall quest long possible progress certain game event later impossible know beforehand though either savescum like crazy play mechanic game cheese way great shame cause game potential well version paper please weird time management choice force replay certain sequence search perfect activity rotation kill I,69,465,-0.025465734,18.145313,7.1478024,13
Beholder,beholder beholder,2,17,-0.054045875,17.50374,4.2025676,16
Beholder 2,paranoid mean,2,13,0.0102768475,16.274107,4.1454225,15
Beholder 2,another dystopic game warm lamp game beholder universe time character work ministry game make grasp spirit bureaucracy atmosphere write mostly sarcastic pretty dark like first game like first one probably like one gameplaywise minigame daily job oldschool textadventure part go around little bit selfdevelopmental skill system rest game adventure style playstyle unfortunately minigame explain insufficiently make bit hard adjust particularly hard however great without understand still game offer variety game lot ending choose gameplay almost impact ending mean moral choice matter end course game great reference dystopia first beholder game,90,644,0.03899011,18.888775,7.34416,14
BioShock Infinite - Season Pass,finally get I game wishlist year sale almost always really want true ending bioshock get downloadable content sale downloadable content gb content,22,146,-0.007615895,19.188547,4.692382,16
BioShock Infinite - Season Pass,buy bundle,2,10,-0.09508452,19.338276,4.322001,7
Black Myth: Wukong,I say absolute cinema,4,21,0.018707864,17.994398,4.8195157,18
Black Myth: Wukong,incredible beautiful quality game must,5,38,-0.031324897,18.100107,4.2699604,16
Black Myth: Wukong,return monke harambae,3,21,-0.06628907,17.382515,3.4243479,6
Black Myth: Wukong,I wait long time finally good game,7,34,-0.044162486,17.483892,2.7839074,2
Blacklight: Retribution,rip,1,3,-0.07695396,16.317978,1.5377878,0
Blacklight: Retribution,bad free play game nice level customization shame put many hour buy something permenant though,15,94,-0.07774933,19.490427,4.5419583,7
Blacksad: Under the Skin,blacksad homage many detective story even game la noire focus much ui ux cinematography great developer think movie game totally different artform even allow change control badly optimize pc game plot much petential though bit light fast pace top game I story even voice act good difficulty year old grandma could play easy normal hard dark soul graphic ms paint bad meh graphic matter game good beautiful masterpiece music bad special good beautiful story game story like play temple runner story people want well write epic story imagine kingdom heart crack price free underpriced perfect price could cheap overpriced complete waste money free epic requirement run microwave average high end nasa computer length short hour short hour average hour long hour extremely long hour end fun rather watch paint dry hard enjoy repetitive actually pretty amusing kind fun remember ride life replayability onetime experience achievement wait monthsyear definitely infinitely replayable worth buy wait sale yes,155,1002,-0.03062151,19.18106,6.5768404,11
Blacksad: Under the Skin,I love blacksad comic book home read several time etc game nice ok horrible port control suck character run several ui relate issue etc buy serious sale,27,152,-0.023388183,19.185862,6.309347,11
Blacksad: Under the Skin,truly awesome game desmond oleary totally rule jake ostombe good also cat wolf hunt night,15,89,-0.053808767,17.808285,3.3184414,-1
Borderlands 3: Gold Weapon Skins Pack,buck seriously,2,14,-0.032987073,16.753506,2.2193763,3
Borderlands 3: Gold Weapon Skins Pack,pay option gold skin weapon keep eye humble bundle ultimate edition bl sometimes show game,15,90,-0.06765024,19.348854,4.2739162,7
Brawlhalla,good try,2,8,-0.030554121,16.22446,1.1999995,0
Brawlhalla,,1,3,-0.11883847,16.227684,1.6444958,1
Brawlhalla,brawlhalla,1,10,0.018921373,16.43998,3.2390528,6
Brawlhalla,bad,1,3,-0.060130913,16.549313,1.6791883,1
Call of Duty: World at War,great cod game,3,14,-0.0454946,17.798449,2.9510274,-1
Call of Duty: World at War,goody,1,5,-0.1292653,16.08263,1.2656196,0
Call of Duty: World at War,perfect game,2,12,-0.017960897,17.740936,2.686141,-1
Call of Duty: World at War,classic game start nazi zombie epic campaign great soundtrack,9,61,-0.04678,17.7538,4.784985,18
Call of Duty: World at War,great stuff,2,11,-0.07659669,17.037989,1.6983327,1
Call of Duty® (2003),definitely worth get lengthy campaign include usa united kingdoms russia storyline blend together well decent amount weapon option enjoy play cod world war problem get game gun model reload animation exactly game different story mode good music also definitely fit theme ww way censorship regard nazi symbol fact show everywhere game mission something offend warn accurate history downside game technical difficulty launch game work unless I ctrlaltdelete start task manager force close cod game launch second try consistent fix problem technical issue close game steam still think game open add fake hour playtime since steam think game still play I could play game without restart computer entirely I restart steam would still think I play cod pretty small issue pretty annoying however consistent solution issue besides I definitely recommend game anyone enjoy world war frame per second game,138,895,-0.01793572,19.196926,5.9133554,17
Call of Duty® (2003),original game one start fanboy get I wrong call duty great game loyalty mean nothing infinity ward get game xbox false name call duty classic bear pc game shall remain game pc community call duty never would become today I say I like today either personally I think series bear die even make cod,54,295,-0.12704284,19.062243,6.0455317,12
Card Quest,like bad version slay spire game terrible bad even something betterwhy would spend time,14,87,-0.06690811,18.81851,4.6472416,16
Card Quest,game hidden gem carefully craft winitall strategy combine numerous item associated set attack base atmosphere deck build mechanic I like slay spire roguebook whereas similar bloodcard obiously game flaw real keyboard control thing lack explanation example unaware prevent dodge happen char hide also cool part try see happen I guess make game much fun I,55,353,-0.076158814,17.214281,7.8398314,-1
Card Quest,pretty decent card battler resource combo management try make tight little hand card limited stamina,15,100,-0.022436619,17.02035,7.9505987,4
Card Quest,fantastic deckbuilde game clear area unlock item slot item add card ability use periodically item tie one slot mix match heavily customize deck I find game hard I realize need play across different quest focus one allow clear easy area quest unlock item option one warning art good spend pretty much whole game fight enemy picture black background outside theme cardsmonster quick text storytelle really see world combat mechanic enemy design tight well craft dramatically change deck play character completely unique unlock playstyle I ton fun game I definitely go keep play I unlock everything like card base game really owe check one,103,636,-0.017907448,17.215286,7.9171696,4
Castle Itter - The Strangest Battle of WWII,puzzle addictive play time row first sitting design solo experience board game ebay figure tank suicide mission I really want know true historical wwii battle real people actual name photo strange battle indeed war crazy hell,36,225,-0.068229176,16.794,5.552976,11
Castle Itter - The Strangest Battle of WWII,awesome game,2,12,-0.044498976,17.656898,2.4639328,3
Close Combat: The Bloody First,game elevation line sight ai force manually check elevation line sight squad every second also really awkward ui control bleak wash colour palette map squad help maintain control troop position,30,193,-0.057150234,16.26554,5.9633646,-1
Close Combat: The Bloody First,obsolete graphic horrible ui,4,28,-0.012365257,19.759449,5.7097964,-1
Colt Canyon,real fun stylish western roguelite twin stick shooter run level look ammo blasting baddie head road rescue kidnapped significant great variety character primarily different stat start equipment weapon baddie include tough boss I find I really lovehate game tight ammo supply keep thing tense often use nonoptimal weapon might one still ammo moment also since carry weapon time game really force carefully weigh one equip nicely game allow backtrack previously clear level run still free switch back weapon might discard early trail,82,531,-0.03441554,16.632631,5.7367153,11
Colt Canyon,really fun coop great however couple thing improve bold color ability change color character would nice I get confuse character friend character play coop sometimes especially thing get chaotic I hate need use ammo andor health purchase item trader addition money purchase would great,44,284,-0.059110757,16.863531,6.365866,14
DRAGON BALL FighterZ,match make self esteem hit rockbottom,6,37,-0.062744156,19.204391,8.006585,9
DRAGON BALL FighterZ,get like time row rank dude fun,7,31,-0.05182269,16.78306,6.519255,14
Darksiders II Deathinitive Edition,hacknslash element animation still hold today play want classic power fantasy buttonmash rdperson hacknslash sit back relax enjoy protagonist dry noncringeworthy retort general badassery,24,186,-0.0562825,17.857222,7.0654807,13
Darksiders II Deathinitive Edition,excellent remaster fix many user complain original launch hd texture different lighting engine may subject preference realistic thus thing glowy anymore downloadable content integrate main game plenty fix well rebalancing enemy gear honestly upgrade worth highly detailed texture new environmental effect alone never play darksider ii version excellent include downloadable content content previously available run smooth modern system even old hopefully soon replace amd graphic card run original drastic increase visual fidelity overall I pleased finally game look like artist intend originally able realize well worth pick,87,625,-0.03471295,19.342487,5.9521356,-1
Darksiders II Deathinitive Edition,I like game much,4,16,-0.020630872,17.543615,2.2418602,3
Darksiders II Deathinitive Edition,sequel continue first game story play different horseman death however time fetch quest bounty quest every character see mock death give something since know story first game learn death backstory much probably go dungeon solve puzzle platform without care story downloadable content campaign give short dungeon enemy blue variety platforme puzzle aspect game overuse reason part feel like chore game bit like open world game side quest although much open world side quest mostly collection quest quest annoying even guide checklist game new game option finish game I know someone would like first playthrough pretty soulless repetitive already combat though important part game right unfortunately many combo move combat repetitive much variety enemy except paint job different enemy sadly boss fight compensate reaper form feel pretty weak battle camera angle bad viewpoint morever lock big enemy help couple skill level much gear drop gear find useless since money mostly useless sell would useful either way explanation stat weapon special good luck figure lastly bugs game huge bugfest I encounter every kind crash visual audio unresponsive game puzzle let I summarize quickly game crash sometimes nothing graphic looks pixelate modern system audio partially disappear play change additional campaign sometimes character move press escape force restart game additional campaign break puzzle may require restart need work around solve understand game mess half finish basically another aaa game worth time spend unless huge fan genre series,233,1544,0.014451513,18.551668,7.7581415,9
Darksiders II Deathinitive Edition,game completely break crash stutter voice line glitche crash everytime I change option option menu good yea lot work nope,20,121,0.002282634,20.225113,6.1570945,17
Deadlight: Director's Cut,decent I would lean mixed review besides broken save nothing really bother I fun get weapon,16,91,-0.0869252,18.909733,6.5700274,11
Deadlight: Director's Cut,bad checkpoint system I ever see,6,32,0.0076031745,20.43017,5.784656,-1
Drug Dealer Simulator,I kinda get gist game quickly care play feel like fetch quest game,13,66,-0.068312615,18.44192,7.095595,14
Drug Dealer Simulator,attempt sue indie dev make well game never buy dev go buy schedule,13,66,0.010705893,19.91352,4.739758,16
Drug Dealer Simulator,sling dope fight law I know think oh another gimmicky simulator random occupation honest partially right yes game sim deal drug run law game feel like game personality I almost compare postal despite look like asset flip I would call asset flip character I tell plan add combat game advertise trailer I feel little mixed since would add extra layer drug runner one thing I would like add option pass time like rest home skip police hour sometimes overall good time waster worth money,84,483,-0.029900966,17.822603,7.1205587,-1
"Dude, Stop",game pretty fun original content much say actually metafictional antigame type short game puzzle solve complete game nothing negative game I I definitely recommend,24,163,-0.06890216,17.826347,5.995655,11
"Dude, Stop",bean,1,4,-0.03469673,16.468319,2.5970857,2
DungeonTop,good combat excellent replay variance many viable deck build option interested game I highly recommend I usually go grid combat game one well fast pace shallow fantastic enemy variety keep toe strategically plenty starter deck option plus lot viable way build deck throughout run replay game feel fun fresh several full run I fully expect sink many hour game really pleasant surprise look like kind thing give go,68,412,-0.07566745,16.819662,7.366381,5
DungeonTop,yes I would recommend game player,6,33,-0.018463537,18.346405,5.9605165,10
ENDLESS™ Space 2,review consider neutral I play major x space game past year stellaris galactic civilization es endless space far least favorite three comparable galactic civilization es well production quality cool backgroundlore customization option jarringly I think issue es vs stellaris galciv ui whack I know play civ galciv stellaris I like game much,52,340,-0.018105736,17.750048,6.3027153,11
ENDLESS™ Space 2,endless space continue asymmetrical gameplay endless legend create game great deal replayability civilization game I think similar every race different mechanic thing like colonize new world use resource result feeling like get game one even well endless legend different mechanic force much particular playstyle start lot tinker race government tech fit play style need situation well game civilization opinion control alien race deal universe among interact unknown possibly get complicated time press end turn wait something build tech research probably miss great deal choice civilization include starting race alien refugee settle world shuffle population around planet later system encourage reproduce rapidly way civilization efficient late game quite lot world manage start micromanagement chore diplomacy quite simple game come become lot complex recently I think ai know well good interest seem undervalue system overvalue tech lot fun wheeling deal put pressure demand tribute less civilation eventually consume politic conquest I generally prefer former tech tree much improve former title series seem tell information like know especially military portion tree gun actually mean fire power ship relative currently equip much cost question seem reach similarly would nice highlight tech use easily show I tech resource I economy interesting another area poorly explain make lot money dust game buy sell luxury resource market game tend alert good idea also set trade route take lot time resource bit gamble trade ship easily destroy often pay I suppose like commerce old day respect much trade get earn trip never tell see price increase new one go hard decide whether worth general lack specific place reason problem bring I final problem really need ingame almanac manual game manual specific system work either date since quite lot add game since launch I highly recommend endless space new player may like game preparation put work every aspect manage civilization run problem solve arise nearly impossible time even know mechanic place solve first place I remember even conduct siege involve know ground troop upgrade man power kind info hide away subscreen may even think research proper tech like tank go good know go add tank army upgrade would good proportion tank infantry bomber see positive negative one lose restart game start plan early next time keep happen learn siege something else like politic screw next game eventually start get picture realize detailed x game yet,386,2497,0.013571214,18.714254,8.072608,5
ENDLESS™ Space 2,groundbreake endless space feel solid x space game,8,50,-0.040408485,17.67692,6.101663,11
ENDLESS™ Space 2,quite challenging game although diplomacy still need lot improve game system well x strategy I think competitor stellaris right simple decision change entire outcome single research make mean battle win lose whole cinematic replay thing also awesome wish would give rt control battle still watch ship battle realtime awesome resource management trading whole development mechanic I think well compete title definitely must buy x space strategy,66,443,-0.08454026,17.26192,6.594572,14
ENDLESS™ Space 2,hype endless space great release usualy bring justified suspicion costumer side many time past game eagerly expect turn big fluke es manage avoid pattern game worthy sequel come well polished well important many devs studio prefer release sequel seem feel half finish try catch downloadable content land game deliver promise deliver balanced way feeling aspect game carry wight although factor indeed specific circumstance matter series potential long devs keep listen community ability synthesise many different idea es many succesfull sequel,80,543,0.022880927,18.308458,6.72459,-1
Entropy : Zero 2,I love wilson bless digital heart whole playthrough feel like standalone game fan mod honestly enjoyable I highly recommend try please bring wilson along,24,153,-0.090564184,18.173231,5.4876375,17
Entropy : Zero 2,well know count breadman,4,24,0.04012249,16.641209,2.7088027,2
Entropy : Zero 2,would pay money valve make canon,6,32,-0.07652985,19.712683,4.359215,7
Entropy : Zero 2,want play modern half life spinoff save money buy abomination hunt freeman play,13,79,-0.04669058,20.008738,4.999617,-1
Entropy : Zero 2,probably good half life relate mod come long time feel new fun play kick whenever need instead switch weapon great tool many situation start appreciate kick gun nice model great animation model really good game play really fun smooth awesome play bad guy favorite part escort target something good bad want cooperate order escape death cool I mention epistle reference worth time especially since free get recognition valve awesome really deserve,71,446,-0.13113247,18.224363,6.1046233,11
Fallout New Vegas: Honest Hearts,mormon jesus real whoop thy butt holy retribution mess one,10,58,-0.13639972,16.31031,3.6297069,7
Fallout New Vegas: Honest Hearts,worst downloadable content I I like cave lose canyon plus I understand tribal light armor tanky hit much spear story pretty bad buyable bundle,24,142,-0.06870615,18.941956,4.8648276,-1
FlatOut: Ultimate Carnage Collector's Edition,thank zoom platform fix year old game add achievement steam deck support remove gfwl dependency one favourite great see get love I hope continue find even game restore,28,167,-0.08668437,19.67879,5.4754844,19
FlatOut: Ultimate Carnage Collector's Edition,racing game strive I fight opinion,6,34,-0.027118279,18.177141,7.9583025,5
Frog Detective 1: The Haunted Island,frog,1,4,-0.032462306,16.389063,2.6053877,2
Frog Detective 1: The Haunted Island,absolutely adorable indie game easy likely take minute beat perfectly polished full fun little detail secret well worth price I would willingly pay dollar game lovely,26,166,-0.08800515,17.506136,5.447555,-1
Frog Detective 1: The Haunted Island,good frog detective game,4,24,-0.051622123,17.10514,3.0514226,2
Galaxy Squad,st playthrough yes short one cause I expect thing happen without spoil first planet I go I like thing happen way different event I like sound make I game nice travel go thing sse next maybe find pirate maybe ship get hit never know I real cause make clear ingame also still work ofc want weapon armor I think developer know come time would something maybe could buy thing shop would nice see squad compare I need something I recommend I I know I want something abit light next heavy strategy thinking game I think relax play yes squad blow relax good game next playthrough,105,572,-0.041450936,18.089058,6.725908,14
Galaxy Squad,like nice simple mix xcom ftl perfectly balanced little easy fun combat overall nice game fair price go star star random encounter mostly combat invincible fleet close galaxy behind combat xcom turn base ability cover hit chance enemy generally start act get sight radius I find hard difficulty pretty easy I imagine turn base veteran find combat fun fantastic variety enemy good variety victory condition player unit class ability fun use well although classship ability good seem almost mandatory replay value branching story unlock gear class game mode etc probably take I hour finish story variant try game mode use guide rush could definitely get fast want enjoyable fastplaye xcom clone galaxy progression similar ftl mind fact may challenging I completely recommend game full price I great time,128,801,-0.039802857,16.91009,6.84836,-1
Generation Zero® - Alpine Unrest,awesome,1,7,-0.0728817,16.183626,1.3564061,0
Generation Zero® - Alpine Unrest,booooooooooooooooooooooooooooooooooore main game good loot kile anything whaaaat game I get anything good whole downloadable content,16,132,-0.06983293,19.285194,4.8085213,-1
Gloomhaven,one bad game I ever play life tutorial incredibly insulting bad ui put exclamation point item I buy slow ball gameplay idiotic battle system I understand anyone find enjoyable unless masochist entire battle system burn ability include basic attack movement half card bs feel like design different suffer game build around mechanic rather mechanic build around game hi dis dah shield buy know case forget within span two second I put exlamation point wunt go wayz till make lulz seriouslyi die little inside I see thishow dumb need think good idea I understand thing I loot thing I buy like I buy bean grocery storeand employee immediately walk I inform I I buy beansthen refuse leave I verify indeed beansand happen everything I put cart sorceress collapse die player um sorc randomly die dmyeah dead player dm run ability dead player fuck collapse die dm yeah dead player full health dm anymore player could liker something dm everyone die run card tank die exhaustion player buthe stand still half fight nothing dm dead first last battle play game I wish I know come back battle overbut I uninstalle find,189,1106,-0.024836259,18.951973,7.943143,9
Gloomhaven,I enjoy innovative gameplay one game big gimmick card top bottom action turn play card hand must use different part card ie use top bottom option create lot tension often essentially burn card substandard option want use key option card card play completely lose part pay high price bring back discard pile really rely get favorite card right back hand,60,352,-0.044643342,17.091148,7.798185,-1
Gloomhaven,gloomhaven huge game irl port computer I mean love game word,11,60,-0.042383876,18.862995,5.757073,17
